"0","1","2","3","4","5","6","7","8","9"
"Product Name Brand","","Brand Tier","Price (USD)","COGS (USD)","Days of InventoryUnits in Stock","","Views Last MonthVolume Sold Last Month","",""
"Pure Collagen Cleanser","","B","36.22","14.83","33","307","3059 185","",""
"Fresh Snail Mucin Cleanser","","A","76.55","45.24","84","234","2365 46","",""
"Soothing Hyaluronic Acid Emulsion","","A","61.24","30.27","81","466","2579 190","",""
"Glow Niacinamide Mask","","A","51.91","28.68","45","361","4746 227","",""
"Hydra Collagen Serum Skinfood","","B","20.92","14.06","47","70","1735 126","",""
"Bright Collagen Mist IOPE","","B","20.92","9.93","34","172","1857 137","",""
"Calm Hyaluronic Acid Ampoule","","C","14.07","7.36","27","205","4552 167","",""
"Hydra Collagen MaskCOSRX","","A","61.09","44.26","75","82","2170 219","",""
"Glow Vitamin C Ampoule","","B","52.08","24.41","63","209","2949 225","",""
"Radiant Green Tea Serum","","A","59.57","25.2","44","144","3351 239","",""
"Fresh Niacinamide Cream","","A","11.44","5.57","89","169","3830 335","",""
"Glow Centella MistSulwhasoo","","B","77.89","34.92","70","333","2589 150","",""
"Pure Snail Mucin Emulsion Etude House","","A","68.27","46.35","50","77","1731 243","",""
"Pure Collagen TonerNeogen","","A","24.86","15.97","42","361","2916 80","",""
"Hydra Mugwort MaskSulwhasoo","","B","22.73","13.41","77","324","1115 13","",""
"Hydra Niacinamide Mask","","B","22.84","15.11","42","199","1448 78","",""
"Silky Propolis CreamInnisfree","","A","31.3","20.07","23","189","4711 257","",""
"Youth Centella Cleanser","","B","46.73","21.31","30","345","3187 234","",""
"Soothing Ginseng Emulsion","","C","40.24","26.87","57","290","2939 11","",""
"Youth Mugwort SerumCOSRX","","A","30.39","17.07","29","73","435 178","",""
"Calm Centella SerumBenton","","C","52.83","33.93","17","463","4692 145","",""
"Fresh Green Tea Mist","","B","19.76","13.22","16","120","995 172","",""
"Youth Centella MistCOSRX","","B","30.45","15.08","76","283","3646 174","",""
"Calm Green Tea Serum","","A","35.65","15.44","26","72","951 397","",""
"Glow Centella SerumNeogen","","C","41.92","19.63","42","79","1787 287","",""
"Glow Ginseng SerumTony Moly","","B","64.96","34.31","57","127","2031 126","",""
"Youth Centella Cleanser Innisfree","","A","23.98","15.48","85","24","3846 198","",""
"Radiant Centella Mask Missha","","A","46","30.28","68","122","2527 9","",""
"Hydra Vitamin C MistMamonde","","C","51.47","20.7","31","215","1668 33","",""
"Radiant Centella Emulsion","","B","13.25","7.33","39","281","4100 169","",""
"Soothing Centella Serum","","C","52.53","27.59","47","384","2838 343","",""
"Pure Propolis Ampoule Sulwhasoo","","B","21.94","10.24","60","499","3598 140","",""
"Soothing Propolis Emulsion","","B","14.55","6.34","63","391","4013 369","",""
"Glow Snail Mucin Essence","","C","76.42","38.31","17","369","1166 325","",""
