"0","1","2","3","4","5","6","7","8"
"Soothing Ginseng Serum","B","77.59","52.98","36","66","4480","346",""
"Calm Centella CreamLaneige","B","66.59","33.09","36","374","2544","149",""
"Youth Mugwort Toner Tony Moly","C","31.32","17.4","30","330","4207","331",""
"Soothing Hyaluronic Acid Cleanser","B","16.84","10.29","39","443","3473","221",""
"Radiant Centella Serum","C","57.9","29.48","37","327","4069","305",""
"Radiant Collagen Serum Tony Moly","B","40.81","28.22","73","163","2646","136",""
"Glow Collagen Essence Skinfood","B","18.54","12.77","78","288","853","296",""
"Pure Centella TonerBenton","A","44.66","21.24","70","389","2182","74",""
"Soothing Mugwort Emulsion","A","12.41","6.82","57","143","2874","256",""
"Calm Propolis Essence","A","73.65","36.11","28","125","2996","279",""
"Hydra Propolis Essence Skinfood","A","28.11","13.65","13","177","4285","368",""
"Soothing Niacinamide Emulsion","A","56.38","23.18","44","166","875","186",""
"Bright Propolis MaskCOSRX","A","31.82","18.55","73","164","1725","171",""
"Radiant Hyaluronic Acid Cream","A","46.4","25.56","58","139","3169","95",""
"Bright Centella Essence Innisfree","B","48.27","20.05","26","338","517","206",""
"Silky Collagen Essence Skinfood","B","22.94","11.09","53","294","214","350",""
"Fresh Green Tea Essence","B","77.87","52.37","39","111","716","23",""
"Silky Mugwort MaskCOSRX","A","64.26","30.32","55","77","4074","43",""
"Youth Hyaluronic Acid Essence","A","75.76","33.6","15","458","3367","130",""
"Youth Snail Mucin Toner","C","72.64","39.72","46","365","925","177",""
"Pure Vitamin C SerumSkinfood","B","51.85","36.07","33","248","1616","145",""
"Calm Propolis SerumIOPE","B","74.53","35.22","55","493","3246","246",""
"Silky Centella MistInnisfree","A","16.19","9.74","62","136","512","224",""
"Silky Green Tea MistBenton","B","23.72","14.91","69","337","828","130",""
"Pure Propolis MistMamonde","A","13.17","6.21","72","298","3448","62",""
"Silky Collagen Ampoule Sulwhasoo","B","32.77","20.27","41","146","2908","152",""
"Bright Centella Ampoule Tony Moly","C","37.21","18.99","42","412","775","321",""
"Calm Niacinamide Lotion Sulwhasoo","B","28.99","17.1","76","415","3565","387",""
"Hydra Niacinamide Emulsion","B","68.01","40.13","27","148","2604","365",""
"Fresh Snail Mucin Essence","B","34.97","19.61","34","77","3067","5",""
"Radiant Vitamin C Mist COSRX","C","29.67","12.67","63","141","2886","391",""
"Pure Snail Mucin Mask Missha","B","47.99","31.22","67","20","1222","352",""
"Calm Collagen Cleanser","A","19.86","9.86","76","258","4179","194",""
"Hydra Ginseng SerumSulwhasoo","A","66.15","30.16","55","309","1671","195",""
